No,Template Name,Category,Keywords,Layout Spec,Typography,Color Palette,Best For,ReportLab Notes,Source Image
1,Amber Band Construction Profile,Brochure,"company profile, construction, amber yellow, black corporate, oversized numerals, contractor brochure","Cover: full-bleed photo band with yellow divider strip and black title block; inner spreads 2-col with oversized background numerals (2,3) marking sections; vision/mission in bulleted 2-col table","Bold condensed sans caps headline, yellow accent subheads, justified sans/serif body paragraphs","Charcoal black #1A1A1A, construction amber #F2A93B, white #FFFFFF, warm gray #3A3A3A",construction/contracting company profile brochures,canvas.rect for black footer and yellow divider bands; full-bleed Image flowable in a fixed-size Frame; oversized numeral watermark via canvas.drawString at huge font size with reduced opacity; Table/TableStyle for vision-mission columns.,0ede5c34697b39a090a14c8db055b9fb.jpg
2,Blue Duotone Company Profile Brochure,Brochure,"company profile, corporate blue, duotone photography, TOC numerals, donut chart, generic industry","Cover with layered photo/brochure mockup + 'Company Profile' wordmark on a blue card; interior consistent bi-fold spreads: numbered TOC list, 'Our Company' 2-col with bar chart, full-bleed blue duotone photo spread, 3-icon services row, globe/network 'Our Create Work' spread, closing donut-chart client-feedback page","Bold sans section headers in blue, thin sans body text, small numbered TOC list with blue circle numerals","Corporate blue #1F5C99, cream/off-white #F4F1EA, charcoal #2B2B2B",generic corporate company-profile brochures across industries,Duotone blue photo effect via a semi-transparent blue rect over a grayscale Image (canvas alpha); bar chart via reportlab.graphics.charts.barcharts; donut chart via Pie with innerRadiusFraction; icon row via 3-col Table; globe/network graphic as vector Drawing or embedded image.,e574abe874e0c7e9c32ecacd055a5b52.jpg
3,Country-Silhouette Travel Poster,Brochure,"tourism poster, deckled edge, photo-collage silhouette, gold seal badge, serif logotype","Vertical poster on a parchment field with a torn/deckled border; a portrait plus photo tiles (ruins, wildlife, city, dunes) are clipped into a country-map silhouette; a gold circular seal sits lower-right; centered eyebrow line, large serif country wordmark, and tracked tagline anchor the bottom.",Small-caps tracked geometric sans eyebrow line; large elegant Didone-style serif logotype for the destination name; thin tracked sans tagline.,"#F3ECDD cream/parchment bg, #1B1B24 charcoal text, #D4AF37 gold seal, warm sand/teal photo tones","Tourism board posters, destination brochures, single-sheet travel campaign pieces.","Full-bleed canvas.drawImage for the textured cream background; clip the photo montage into a custom country-shape Path via canvas.clipPath before drawing each image tile; render the gold seal as a vector Circle plus centered Paragraph; set the serif wordmark via Paragraph with a registered Didone TTF, centered in a bottom Frame.",72e5e46cb3981a203f81de45c8b3068c.jpg
4,Green Corporate Brochure Spread Set,Brochure,"company profile, green corporate, bifold quad-fold mockup, numbered icon circles, service brochure","Series of open-brochure flat-lay mockups; each spread splits 50/50 into full-bleed photo panel and cream text panel with rounded green header pill, numbered 01-04 circular icon badges, dashed rule bottom-left corner marker",Bold uppercase sans headline pill labels ~18-24pt; thin sans body ~8pt; numbered circular badge digits centered bold,"Sage green #7FA37E (cover bg), forest green #2F5233 (accent blocks/pills), cream #F2F0E9 (page bg), dark green #1F3A24 (text)","Company profile PDFs, sustainability/service brochures, corporate capability decks","Two-column Table (50/50 colWidths) per spread; rounded header pill via canvas.roundRect fill; numbered badges via canvas.circle + centered Helvetica Neue Bold text; dashed corner rule via HRFlowable(dash=[2,2])",097f2f2d1340f79bfa7efff9de699c11.jpg
5,Haflah Emerald Invitation Trifold,Brochure,"wedding invitation, Islamic, Indonesian, teal gold, trifold, calligraphy, mockup","Bifold/gatefold invitation (~A5) shown at an angle: front panel is a teal-to-white diagonal gradient split with a centered gold emblem, back panel is white with a teal date badge and gold Arabic calligraphy centerpiece plus a QR/social-icon sidebar.",Large bold sans display numerals (event date '20/25 14/46') in white on the teal badge; elegant gold Arabic script logotype for the event name; small-caps sans body for host names and RSVP details.,"#0F5F52 teal (primary), #C9A227 gold (foil accent), #FFFFFF white (ground), #1A1A1A near-black (fine print)","Wedding/religious ceremony invitations, save-the-dates, formal Islamic event stationery.","Build as an A5 landscape-fold Canvas page split into two vertical Frames; draw the diagonal teal-to-white gradient with manual banded rect fills (ReportLab has no native linear gradient), overlay the gold emblem as a PNG and set date numerals in Helvetica-Neue-Bold inside a rounded rect via canvas.roundRect; the calligraphy must be an embedded vector/PNG asset since ReportLab cannot shape Arabic script.",1149b55aa70018df56ba9aa878f6db7e.jpg
6,Monochrome Services Capability Brochure,Brochure,"grayscale, corporate capabilities, icon list, team bios, stats, agency brochure","A4 portrait two-page spreads: left page is a full-bleed dark photo panel with a bold headline block, right page runs a numbered icon-list (icon + heading + 2-line body) beneath a page-tab label; stat pages use paired icon-box grids with oversized numerals.","Heavy grotesque sans headlines (36-44pt, all-caps, tight tracking) over a thin rule; 9-10pt sans body copy; small tracked-out caps section labels like '// 02'.","#2B2B2B charcoal, #6E6E6E mid-gray, #C9C9C9 light gray, #FFFFFF white — flat monochrome system with no color accent","Corporate capability decks, agency/design-studio service brochures, credentials booklets.","Two-Frame Platypus page template (photo Frame + text Frame) per spread; full-bleed Image flowable via canvas.drawImage sized to page bounds, HRFlowable(color=charcoal, thickness=1) under headings, icon+text rows built as a borderless Table with a fixed icon-cell width and TableStyle VALIGN='TOP'.",3a05f3f7efc8b772a4297716026642f5.jpg
7,Navy Blockprint Corporate Brochure,Brochure,"bi-fold brochure, navy color block, mission vision spread, world map stat panel","Bi-fold spreads with angled or rectangular navy color-block panels covering 40-60% of each page on a cream ground, carrying bold white headline text, numbered vision/mission points, icon-label rows, and a world-map stat panel with percentage callouts.","Bold condensed white caps headline reversed out of the navy block, cream circular numeral badges, small sans body placeholder text, icon+label pairs.","#1F2A5E navy blue, #2B3A8C secondary navy, #F2EEDD cream/ivory background, #FFFFFF white text","Corporate capability brochures, company overview leave-behinds, service line-ups","Angled navy block drawn as a canvas Path polygon fill per PageTemplate before content, or use a precomposed background PNG; numbered vision points as a bordered Table of icon+number+text triplets; world map as a vector Drawing (traced SVG path) or embedded Image; mirror left/right Frames across the spread PageTemplate.",8ac1f6ac9b64a01a856b29c34edf24dd.jpg
8,Navy Wave Shipping Digital Brochure,Brochure,"shipping brochure, tablet mockup, navy orange wave, logistics, global services","Cover on tablet mockup: full-bleed navy container-ship photo with orange wave-line overlay, bottom-left logo lockup; inner pages 2-col image+stat blocks, 3-col icon service list, world-map infographic spread","Large modern sans display title, thin tracked eyebrow subhead, sans body with bold orange stat numerals","Deep navy #0B2A4A, teal-blue #1B4E73, burnt orange accent #D9622B, white #FFFFFF, light gray #F2F2F0","logistics, shipping, and global-services digital brochures","Full-bleed cover Image with wave lines drawn via canvas.bezier/Path (orange stroke, varying opacity); stat blocks as 2-col Table with large bold numeral Paragraph over caption; 3-col icon row Table; map via embedded vector Image or reportlab.graphics world outline.",4919016c6033b9cb848602a55a0188a1.jpg
9,Noir UGC Creator Media Kit,Brochure,"UGC portfolio, media kit, creator brand, black and cream, pricing table, video thumbnail grid","11-page vertical portfolio: cover with circular logo badge + oversized photo; 'Who am I/What is UGC' 2-col intro with overlapping circular photo cutout; oversized stat numerals (93%, 70/73/84%) beside bullet lists; pricing cards; 4-across 'My Work' video thumbnail grid with play-button icons","Elegant serif display headings, small tracked sans caption labels, huge bold sans stat numerals, sans body paragraphs","Near-black #0E0E0E, warm off-white #F4F0EB, muted taupe #B7ADA0, white text on black","creator/influencer media kits, UGC portfolios, personal-brand proposals",Circular photo crop via clipping Path; stat numeral as large ParagraphStyle (48-60pt) beside ListFlowable bullets; pricing cards as Table with black cell BACKGROUND and white text; thumbnail grid via 4-col Table of Image flowables with small circular play-icon Drawing overlay.,86fa4032d626cbe97879333592a17c2a.jpg
10,Steel Blue Trifold Corporate Brochure,Brochure,"trifold brochure, corporate leaflet, service overview, blue and white panels, agency brochure","Trifold (3-panel) mockups shown open/closed/hand-held; one full-photo panel, one solid-blue panel with reversed bold headline + underline rule + small logo box, one white panel with body copy and bordered CTA label",Bold condensed display statements; small sans body paragraphs; tiny bordered uppercase CTA label,"Steel blue #2E5D8A to #1B4066, white, light grey #E7E9EC","Corporate/agency trifold brochure, service overview leaflet",3-panel layout via one landscape page split into 3 equal Frames (or 3 separate portrait pages for print-fold); solid-color panel via full Frame background rect; bordered CTA label via canvas.rect stroke + Paragraph,92e24310cb9de0f7e75857e0372c6185.jpg
